what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1327955142637
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1327955142637
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1327955142638
started,bundle,org.eclipse.equinox.p2.director,2.0.3.R36x_v20101117-1018,"org.eclipse.equinox.p2.director",1327955142639
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1327955142640
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1327955142640
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1327955142641
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1327955142641
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1327955142656
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.3.R36x_v20101202,"org.eclipse.equinox.p2.touchpoint.eclipse",1327955142656
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1327955142657
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1327955142657
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1327955142657
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1327955142657
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.4.v20111106-0100,"org.eclipse.mylyn.bugzilla.core",1327955142657
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1327955142657
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1327955142658
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1327955142658
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1327955142659
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1327955142659
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1327955142659
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1327955142659
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1327955142659
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1327955142659
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1327955142659
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1327955142659
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1327955142659
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1327955142659
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1327955142659
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1327955142660
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1327955142660
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1327955142660
os,sysinfo,,,"win32",1327955142666
arch,sysinfo,,,"x86_64",1327955142666
ws,sysinfo,,,"win32",1327955142666
locale,sysinfo,,,"en_US",1327955142666
processors,sysinfo,,,"8",1327955142666
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1327955142666
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1327955142666
java.specification.name,sysinfo,,,"Java Platform API Specification",1327955142666
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1327955142667
java.specification.version,sysinfo,,,"1.6",1327955142667
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1327955142667
java.version,sysinfo,,,"1.6.0_26",1327955142667
java.vm.info,sysinfo,,,"mixed mode",1327955142667
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1327955142667
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1327955142667
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1327955142667
java.vm.specification.version,sysinfo,,,"1.0",1327955142667
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1327955142667
java.vm.version,sysinfo,,,"20.1-b02",1327955142667
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327955144805
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327955147449
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.help.aboutAction",1327955147464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327955148654
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327955274009
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1327955277672
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1327955277678
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1327955277827
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1327955277897
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1327955277984
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1327955278058
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1327955278063
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327955278600
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327955280806
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1327955280832
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327955283350
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327955292461
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.help.aboutAction",1327955292477
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327955293809
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327955295488
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327955295667
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1327955296437
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1327955296450
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1327955296930
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1327955296930
stopped,bundle,org.eclipse.mylyn.commons.team,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.team",1327955296933
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1327955296933
stopped,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1327955296936
