what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321568510983
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321568518004
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321568524949
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321568529958
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321568572018
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1321568572033
error,log,,,"Internal Error",1321568575932
error,log,,,"Resource '/Assignment5/src/TheGraphTest.java' does not exist.",1321568575932
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321568575960
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321568576018
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321568582870
error,log,,,"Internal Error",1321568587861
error,log,,,"Resource '/Assignment5/src/GVertex.java' does not exist.",1321568587862
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321568587894
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321568590565
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321568598592
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321568619676
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321568630020
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321568641063
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321568667096
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1321568667130
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321568680770
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321568705269
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321568705286
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321568713800
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321568721870
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1321568724499
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321568730868
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321568733196
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321568739979
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321568741636
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321568741831
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321568741872
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321568839248
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321568859167
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1321568886670
