what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1321993402995
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1321993403003
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1321993403003
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1321993403021
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1321993403030
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1321993403043
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1321993403055
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1321993403075
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1321993403090
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1321993403091
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1321993403092
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1321993403095
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1321993403105
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1321993403108
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1321993403110
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1321993403110
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1321993403125
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1321993403127
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1321993403128
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1321993403131
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1321993403132
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1321993403135
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1321993403147
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1321993403200
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1321993403213
started,bundle,jd.ide.eclipse,0.1.3,"jd.ide.eclipse",1321993403227
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1321993403238
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1321993403250
os,sysinfo,,,"win32",1321993403256
arch,sysinfo,,,"x86_64",1321993403256
ws,sysinfo,,,"win32",1321993403256
locale,sysinfo,,,"en_US",1321993403256
processors,sysinfo,,,"8",1321993403256
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1321993403256
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1321993403256
java.specification.name,sysinfo,,,"Java Platform API Specification",1321993403256
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321993403256
java.specification.version,sysinfo,,,"1.6",1321993403256
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1321993403256
java.version,sysinfo,,,"1.6.0_26",1321993403256
java.vm.info,sysinfo,,,"mixed mode",1321993403256
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1321993403256
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1321993403256
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321993403256
