what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321022456024
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321022473521
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321022482656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321022483938
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321022489171
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321022497948
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321022525100
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321022540460
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321022727706
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321022751763
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321022947838
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321023215059
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321023239721
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321023247436
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1321023258306
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321023298468
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321023298523
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321023359248
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321023389516
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321023425519
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321023430129
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321023468832
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321023472015
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321023513879
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321023554856
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1321023558296
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1321023558440
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321023559258
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1321023559862
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1321023569392
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321023575314
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321023600452
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321023685511
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321023686763
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321023808352
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321023811740
